id,name,species,location
Diptera_China_2018_Hubei_partiti-like_virus_18_KX884152,KX884152,Diptera,China
D_sim_California_USA_2011-BBDIV1550-galbut_virus_RdRp_Complete_CDS,California_USA_2011,D. simulans,USA
D_sim_California_USA_2000_galbut_virus_RdRp_Complete_CDS,California_USA_2000,D. simulans,USA
D_sim_Australia_2018_MW976836,MW976836,D. simulans,Australia
D_sim_Australia_2018_MW976835,MW976835,D. simulans,Australia
D_sim_Australia_2018_MW976834,MW976834,D. simulans,Australia
D_sim_Australia_2018_MW976833,MW976833,D. simulans,Australia
D_sim_Australia_2018_MW976832,MW976832,D. simulans,Australia
D_sim_Australia_2018_MW976831,MW976831,D. simulans,Australia
D_sim_Australia_2018_MW976830,MW976830,D. simulans,Australia
D_sim_Australia_2018_MW976829,MW976829,D. simulans,Australia
D_sim_Australia_2018_MW976828,MW976828,D. simulans,Australia
D_sim_Australia_2018_MW976827,MW976827,D. simulans,Australia
D_sim_Australia_2018_MW976826,MW976826,D. simulans,Australia
D_sim_Australia_2018_MW976825,MW976825,D. simulans,Australia
D_sim_Australia_2018_MW976824,MW976824,D. simulans,Australia
D_mel_Pennsylvania_USA_1963-Frost03211963-galbut_virus_RdRp_partial_CDS,Pennsylvania_USA_1963,D. melanogaster,USA
D_mel_Minnesota_USA_1919-StPaul1919_galbut_virus_RdRp_Complete_CDS,Minnesota_USA_1919,D. melanogaster,USA
D_mel_Illinois_USA_1908-1004277-galbut_virus_RdRp_complete_CDS,Illinois_USA_1908,D. melanogaster,USA
D_mel_Illinois_1930-1004283-galbut_virus_RdRp_partial_CDS,Illinois_1930-1004283,D. melanogaster,USA
D_mel_Haiti_2018_2,Haiti_2018_2,D. melanogaster,Haiti
D_mel_Haiti_2018_1,Haiti_2018_1,D. melanogaster,Haiti
D_mel_Colorado_USA_2021_MDS_C2_21_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_20_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_19_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_18_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_17_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_16_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_15_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_14_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_13_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_12_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_11_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_10_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_9_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_8_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_7_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_6_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_5_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_4_RNA_1,Colorado_USA_2022,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_3_RNA_1,Colorado_USA_2023,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_2_RNA_1,Colorado_USA_2024,D. melanogaster,USA
D_mel_Colorado_USA_2021_MDS_C2_1_RNA_1,Colorado_USA_2025,D. melanogaster,USA
D_mel_Colorado_USA_2021_LK_6_RNA_1,Colorado_USA_2026,D. melanogaster,USA
D_mel_Colorado_USA_2021_LK_2_RNA_1,Colorado_USA_2027,D. melanogaster,USA
D_mel_Colorado_USA_2020_TD_6_RNA_1,Colorado_USA_2020,D. melanogaster,USA
D_mel_Colorado_USA_2020_TD_5_RNA_1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2020_TD_2_RNA_1,Colorado_USA_2022,D. melanogaster,USA
D_mel_Colorado_USA_2020_TD_1_RNA_1,Colorado_USA_2023,D. melanogaster,USA
D_mel_Colorado_USA_2020_AG_1_RNA_1,Colorado_USA_2024,D. melanogaster,USA
D_mel_Colorado_USA_2019_kitchen,Colorado_USA_2019,D. melanogaster,USA
D_mel_Colorado_USA_2019_compost_rep2,Colorado_USA_2020,D. melanogaster,USA
D_mel_Colorado_USA_2019_compost_rep1,Colorado_USA_2021,D. melanogaster,USA
D_mel_Colorado_USA_2018_rep2,Colorado_USA_2018,D. melanogaster,USA
D_mel_Colorado_USA_2018_rep1,Colorado_USA_2019,D. melanogaster,USA
D_mel_Colorado_USA_2017,Colorado_USA_2017,D. melanogaster,USA
D_mel_Colorado_USA_2016,Colorado_USA_2016,D. melanogaster,USA
D_mel_Brazil_2019_5,D_mel_Brazil_2019,D. melanogaster,Brazil
D_mel_Brazil_2019_4,D_mel_Brazil_2020,D. melanogaster,Brazil
D_mel_Brazil_2019_3,D_mel_Brazil_2021,D. melanogaster,Brazil
D_mel_Brazil_2019_2,D_mel_Brazil_2022,D. melanogaster,Brazil
D_mel_Brazil_2019_1,D_mel_Brazil_2023,D. melanogaster,Brazil
D_mel_Australia_2008_MH384378,MH384378,D. melanogaster,Australia
D_mel_Australia_2008_MH384372,MH384372,D. melanogaster,Australia
D_mel_Australia_2008_MH384364,MH384364,D. melanogaster,Australia
D_mel_Australia_2008_MH384360,MH384360,D. melanogaster,Australia
D_mel_Australia_2008_MH384353,MH384353,D. melanogaster,Australia
D_mel_Australia_2008_MH384335,MH384335,D. melanogaster,Australia
D_mel_Australia_2008_MH384271,MH384271,D. melanogaster,Australia