name,id,description,species,location,year
KT160283,KT160283,"Drosophila melanogaster sigmavirus isolate 7a nucleocapsid protein (N) gene, partial cds; polymerase-associated protein (P), unknown (X), matrix protein (M), and glycoprotein (G) genes, complete cds; and nonfunctional RNA-dependent RNA polymerase (L) gene, complete sequence",Drosophila melanogaster,USA,2011
KT160284,KT160284,"Drosophila melanogaster sigmavirus isolate 3e nucleocapsid protein (N) gene, partial cds; polymerase-associated protein (P), unknown (X), matrix protein (M), and glycoprotein (G) genes, complete cds; and nonfunctional RNA-dependent RNA polymerase (L) gene, complete sequence",Drosophila melanogaster,USA,2011
KT160285,KT160285,"Drosophila melanogaster sigmavirus isolate 5f nucleocapsid protein (N) gene, partial cds; and polymerase-associated protein (P), unknown (X), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",Drosophila melanogaster,USA,2011
KT160286,KT160286,"Drosophila melanogaster sigmavirus isolate 7c nucleocapsid protein (N) gene, partial cds; and polymerase-associated protein (P), unknown (X), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",Drosophila melanogaster,USA,2011
KT160287,KT160287,"Drosophila melanogaster sigmavirus isolate 3h nucleocapsid protein (N) gene, partial cds; and polymerase-associated protein (P), unknown (X), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",Drosophila melanogaster,USA,2011
MH384277,MH384277,"Drosophila melanogaster sigmavirus strain COFplus27050 nucleocapsid protein, polymerase-associated protein, hypothtetical protein, matrix protein, glycoprotein, and RNA-dependent RNA polymerase genes, complete cds",Drosophila melanogaster,Australia,2008
MH384306,MH384306,"Drosophila melanogaster sigmavirus strain MARminus23478 nucleocapsid protein, polymerase-associated protein, hypothtetical protein, matrix protein, glycoprotein, and RNA-dependent RNA polymerase genes, complete cds",Drosophila melanogaster,Australia,2008
NC_013135,NC_013135,"Drosophila melanogaster sigma virus AP30 N, P, X, M, G and L genes, genomic RNA, isolate AP30",Drosophila melanogaster,USA,2005
OR820580,OR820580,D_mel_NewJersey_USA_1942_Sigmavirus_complete_CDS,Drosophila melanogaster,USA,1942
NC_038281,NC_038281,"Drosophila melanogaster sigma virus HAP23, complete genome",Drosophila melanogaster,France,unknown